epoch,loss,acc
0,-860.0298,-2786.253
131,-1008.08435,-134.2198
132,-1004.0849,-133.52242
133,-1000.1519,-132.8526
134,-995.5176,-132.19904
135,-991.82355,-131.54773
136,-987.418,-130.87833
137,-983.1885,-130.23378
138,-979.13605,-129.60194
139,-975.59406,-128.96402
140,-972.07886,-128.34029
141,-968.2912,-127.72907
142,-964.5322,-127.10719
143,-960.9075,-126.50127
144,-957.15106,-125.91468
145,-953.82666,-125.34473
146,-950.3127,-124.778824
147,-946.72626,-124.22198
148,-942.85046,-123.64401
149,-938.91455,-123.06101
150,-934.6842,-122.494545
151,-931.1268,-121.935814
152,-927.19934,-121.3791
153,-923.2879,-120.83698
154,-919.6904,-120.308136
155,-915.7642,-119.77222
156,-912.41534,-119.25129
157,-908.71387,-118.746544
158,-905.3357,-118.241455
159,-901.3796,-117.72378
160,-897.52234,-117.22301
161,-893.9377,-116.73612
162,-890.0814,-116.25558
163,-886.4507,-115.78297
164,-882.7323,-115.3099
165,-878.46564,-114.8394
166,-874.62823,-114.37167
167,-870.45056,-113.90995
168,-866.27905,-113.45129
169,-862.4085,-113.00958
170,-858.1147,-112.571434
171,-854.35345,-112.11035
172,-850.4097,-111.647285
173,-846.1239,-111.19175
174,-842.0411,-110.7409
175,-837.4625,-110.29406
176,-833.34607,-109.86715
177,-829.41614,-109.44326
178,-825.7527,-109.01434
179,-821.88165,-108.59288
180,-818.14886,-108.18073
181,-814.2715,-107.771675
182,-810.91455,-107.34881
183,-807.69806,-106.94914
184,-804.0821,-106.53733
185,-800.05865,-106.131386
186,-796.286,-105.72088
187,-792.4111,-105.32606
188,-789.0491,-104.93613
189,-785.8107,-104.55834
190,-781.94836,-104.17901
191,-778.20874,-103.81819
192,-774.4316,-103.45465
193,-770.7353,-103.09699
194,-767.50946,-102.7448
195,-764.0037,-102.40461
196,-760.48193,-102.067856
197,-756.7815,-101.730225
198,-753.15326,-101.378265
199,-749.6128,-101.0297
200,-746.79333,-100.69842
201,-743.9889,-100.36023
202,-741.07947,-100.026054
203,-738.2489,-99.677
204,-735.70605,-99.34503
205,-732.37524,-99.02205
206,-729.3734,-98.68856
207,-726.5368,-98.370224
208,-723.678,-98.05475
209,-720.9665,-97.73645
210,-718.2621,-97.417725
211,-715.5863,-97.09381
212,-712.9996,-96.78477
213,-710.0116,-96.4736
214,-707.494,-96.163086
215,-705.5687,-95.86407
216,-702.4812,-95.5446
217,-699.7385,-95.234215
218,-697.4489,-94.93366
219,-694.69696,-94.64374
220,-692.2234,-94.350365
221,-689.71924,-94.05699
222,-687.35315,-93.77326
223,-684.4802,-93.49038
224,-682.0047,-93.20562
225,-679.41724,-92.940956
226,-676.8226,-92.67075
227,-674.0708,-92.40446
228,-671.1792,-92.13293
229,-668.656,-91.86495
230,-666.2987,-91.606834
231,-663.909,-91.346504
232,-661.4986,-91.08776
233,-658.81305,-90.83793
234,-656.3678,-90.57533
235,-653.92633,-90.31094
236,-651.75354,-90.063354
237,-649.5714,-89.813065
238,-647.0378,-89.56321
239,-644.51935,-89.324135
240,-641.94116,-89.073975
241,-639.3741,-88.82636
242,-636.94977,-88.57862
243,-634.7239,-88.3372
244,-632.62067,-88.08064
245,-630.6098,-87.851814
246,-628.56305,-87.61198
247,-625.90875,-87.38122
248,-623.28766,-87.146416
249,-621.4731,-86.90759
250,-619.68616,-86.665375
251,-617.9786,-86.42762
252,-616.00287,-86.20665
253,-613.779,-85.98222
254,-611.9426,-85.75059
255,-609.4851,-85.51606
256,-607.12665,-85.28672
257,-604.9775,-85.05772
258,-603.18475,-84.82753
259,-601.441,-84.597115
260,-599.553,-84.362
261,-597.5006,-84.13464
262,-595.19916,-83.90432
263,-593.6217,-83.68361
264,-591.4458,-83.46309
265,-589.2998,-83.23458
266,-587.195,-83.00909
267,-585.4373,-82.79542
268,-583.5157,-82.573105
269,-581.7176,-82.36322
270,-579.57684,-82.14537
271,-577.5708,-81.92575
272,-575.51624,-81.713524
273,-573.2662,-81.493965
274,-571.3675,-81.27537
275,-569.57904,-81.06095
276,-568.10675,-80.84877
277,-566.53174,-80.63106
278,-564.502,-80.43214
279,-563.03156,-80.21761
280,-561.1539,-80.00465
281,-560.1107,-79.79288
282,-558.01654,-79.581955
283,-556.52264,-79.38227
284,-555.06104,-79.18762
285,-552.8039,-78.986626
286,-550.83514,-78.778915
287,-548.7191,-78.577705
288,-546.51215,-78.37905
289,-544.80994,-78.17274
290,-542.9084,-77.979515
291,-541.12854,-77.78478
292,-539.5945,-77.586876
293,-537.7561,-77.39824
294,-536.0262,-77.20875
295,-533.9819,-77.01251
296,-532.1999,-76.81956
297,-530.6067,-76.63252
298,-528.43726,-76.442726
299,-526.92456,-76.26267
300,-525.2646,-76.08258
301,-523.48926,-75.90659
302,-521.7732,-75.72591
303,-520.6683,-75.554184
304,-518.5056,-75.37884
305,-516.9005,-75.21651
306,-515.311,-75.05091
307,-513.1388,-74.88389
308,-511.56842,-74.711754
309,-509.77216,-74.549164
310,-508.11795,-74.37955
311,-506.64084,-74.211716
312,-505.0359,-74.0455
313,-503.29483,-73.88541
314,-501.6459,-73.72317
315,-499.95724,-73.56447
316,-498.51108,-73.39759
317,-497.18182,-73.23487
318,-495.1817,-73.07093
319,-493.9599,-72.91111
320,-491.95575,-72.752754
321,-490.27298,-72.5977
322,-488.34885,-72.43382
323,-487.0143,-72.27331
324,-485.53745,-72.11246
325,-484.58328,-71.950226
326,-483.24277,-71.79051
327,-481.71985,-71.63377
328,-480.05267,-71.4767
329,-477.8605,-71.30885
330,-476.57907,-71.15044
331,-474.74017,-70.99909
332,-472.8698,-70.8547
333,-471.0098,-70.70767
334,-469.34085,-70.55921
335,-467.0274,-70.41941
336,-464.75177,-70.27358
337,-462.5968,-70.12761
338,-460.68985,-69.98383
339,-458.5643,-69.84291
340,-456.44928,-69.703384
341,-454.07318,-69.56382
342,-451.86447,-69.42653
343,-449.70197,-69.29184
344,-447.55176,-69.14278
345,-445.04388,-69.00528
346,-442.916,-68.85991
347,-441.35333,-68.724495
348,-439.34027,-68.58287
349,-437.7172,-68.44445
350,-436.17178,-68.30867
351,-434.6891,-68.17146
352,-432.61447,-68.04154
353,-430.43707,-67.90596
354,-428.57294,-67.76887
355,-426.91788,-67.64275
356,-425.707,-67.51574
357,-423.8104,-67.385086
358,-421.57684,-67.25238
359,-419.72177,-67.1281
360,-417.902,-67.00095
361,-415.80048,-66.869064
362,-414.67407,-66.742424
363,-413.81485,-66.61694
364,-412.3463,-66.48058
365,-411.47305,-66.35249
366,-410.39822,-66.22623
367,-409.5749,-66.10275
368,-408.30228,-65.98106
369,-407.55698,-65.860916
370,-406.81378,-65.73812
371,-405.5465,-65.6159
372,-404.54474,-65.49329
373,-403.32327,-65.36825
374,-402.7947,-65.243965
375,-402.14038,-65.12322
376,-401.32883,-64.9981
377,-400.673,-64.88407
378,-399.7524,-64.76443
379,-398.9354,-64.64881
380,-398.07083,-64.531494
381,-397.22244,-64.41082
382,-396.72873,-64.28985
383,-396.24588,-64.175644
384,-395.78424,-64.05979
385,-395.01086,-63.943558
386,-394.55524,-63.82752
387,-394.73352,-63.714767
388,-395.0739,-63.59853
389,-395.0187,-63.485508
390,-395.19415,-63.378456
391,-395.73038,-63.27911
392,-396.412,-63.172806
393,-397.70535,-63.06808
394,-398.36142,-62.959164
395,-398.79276,-62.853928
396,-399.09354,-62.749683
397,-399.36398,-62.644695
398,-399.55283,-62.545612
399,-399.72595,-62.44635
400,-399.29538,-62.33896
401,-399.17215,-62.240414
402,-399.70364,-62.138622
403,-400.4689,-62.037514
404,-401.44485,-61.937508
405,-401.90546,-61.842247
406,-402.65775,-61.74562
407,-403.29678,-61.655914
408,-404.0003,-61.55481
409,-404.39264,-61.462524
410,-404.888,-61.371685
411,-405.48352,-61.276245
412,-406.23523,-61.18764
413,-406.05496,-61.094593
414,-406.3492,-60.99772
415,-407.10477,-60.907566
416,-407.49362,-60.81118
417,-407.91025,-60.72115
418,-408.35693,-60.628025
419,-408.54605,-60.54088
420,-408.61462,-60.449753
421,-408.28738,-60.363556
422,-408.05664,-60.272594
423,-407.91782,-60.181923
424,-407.69644,-60.096466
425,-407.93253,-60.007484
426,-407.9695,-59.9203
427,-407.7307,-59.833893
428,-407.4277,-59.745113
429,-407.2694,-59.65485
430,-407.08432,-59.564312
431,-406.72614,-59.47831
432,-405.94257,-59.39105
433,-405.69647,-59.300537
434,-405.43396,-59.217037
435,-404.90744,-59.12615
436,-404.33313,-59.03674
437,-403.7875,-58.949314
438,-403.04932,-58.866314
439,-402.6594,-58.786343
440,-401.98004,-58.704216
441,-401.7866,-58.617413
442,-401.74173,-58.53694
443,-400.95316,-58.456867
444,-400.66855,-58.372414
445,-400.4791,-58.288696
446,-400.155,-58.21004
447,-399.9884,-58.12556
448,-399.3801,-58.04285
449,-399.23346,-57.96234
450,-398.79745,-57.87492
451,-398.37747,-57.79101
452,-398.16132,-57.70679
453,-397.30273,-57.6224
454,-396.80536,-57.539845
455,-396.15814,-57.464035
456,-395.21677,-57.38789
457,-394.8723,-57.310677
458,-394.29376,-57.226692
459,-393.78702,-57.146893
460,-393.68362,-57.071762
461,-392.88806,-56.989723
462,-392.51752,-56.906536
463,-392.29782,-56.82528
464,-391.77542,-56.752945
465,-391.06354,-56.67247
466,-390.22937,-56.590183
467,-389.5728,-56.5143
468,-389.30844,-56.434162
469,-388.86502,-56.35557
470,-388.1126,-56.275642
471,-387.48996,-56.190647
472,-387.02798,-56.110527
473,-386.34152,-56.0283
474,-385.81998,-55.949707
475,-385.1768,-55.871853
476,-384.71988,-55.800888
477,-384.052,-55.72408
478,-383.55206,-55.644295
479,-382.8147,-55.56679
480,-382.64304,-55.49194
481,-382.21716,-55.42458
482,-381.36508,-55.347343
483,-380.70126,-55.27381
484,-380.21548,-55.202003
485,-379.55682,-55.133057
486,-379.62833,-55.052017
487,-379.22464,-54.97813
488,-378.56067,-54.908802
489,-377.8753,-54.834312
490,-377.2373,-54.763416
491,-376.8812,-54.683556
492,-376.79318,-54.608776
493,-376.44632,-54.53446
494,-376.4674,-54.461277
495,-376.06076,-54.387787
496,-376.03873,-54.312744
497,-375.5331,-54.23724
498,-374.82507,-54.169315
499,-374.5079,-54.0951
